Node_Index_0based,Node_Index_1based,Parcel_Label,Structure_Type,Hemisphere,Anatomical_Region,Yeo_Network,FSL_Label,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
203,204,7Networks_LH_DorsAttn_Post_32,Cortex,Left,Post,Dorsal_Attention,-1,1,0
204,205,7Networks_LH_DorsAttn_Post_33,Cortex,Left,Post,Dorsal_Attention,-1,1,0
205,206,7Networks_LH_DorsAttn_Post_34,Cortex,Left,Post,Dorsal_Attention,-1,1,0
206,207,7Networks_LH_DorsAttn_Post_35,Cortex,Left,Post,Dorsal_Attention,-1,1,0
207,208,7Networks_LH_DorsAttn_Post_36,Cortex,Left,Post,Dorsal_Attention,-1,1,0
208,209,7Networks_LH_DorsAttn_Post_37,Cortex,Left,Post,Dorsal_Attention,-1,1,0
209,210,7Networks_LH_DorsAttn_Post_38,Cortex,Left,Post,Dorsal_Attention,-1,1,0
210,211,7Networks_LH_DorsAttn_Post_39,Cortex,Left,Post,Dorsal_Attention,-1,1,0
211,212,7Networks_LH_DorsAttn_Post_40,Cortex,Left,Post,Dorsal_Attention,-1,1,0
212,213,7Networks_LH_DorsAttn_Post_41,Cortex,Left,Post,Dorsal_Attention,-1,1,0
213,214,7Networks_LH_DorsAttn_Post_42,Cortex,Left,Post,Dorsal_Attention,-1,1,0
214,215,7Networks_LH_DorsAttn_Post_43,Cortex,Left,Post,Dorsal_Attention,-1,1,0
215,216,7Networks_LH_DorsAttn_Post_44,Cortex,Left,Post,Dorsal_Attention,-1,1,0
216,217,7Networks_LH_DorsAttn_Post_45,Cortex,Left,Post,Dorsal_Attention,-1,1,0
217,218,7Networks_LH_DorsAttn_Post_46,Cortex,Left,Post,Dorsal_Attention,-1,1,0
218,219,7Networks_LH_DorsAttn_Post_47,Cortex,Left,Post,Dorsal_Attention,-1,1,0
219,220,7Networks_LH_DorsAttn_Post_48,Cortex,Left,Post,Dorsal_Attention,-1,1,0
220,221,7Networks_LH_DorsAttn_Post_49,Cortex,Left,Post,Dorsal_Attention,-1,1,0
221,222,7Networks_LH_DorsAttn_Post_50,Cortex,Left,Post,Dorsal_Attention,-1,1,0
222,223,7Networks_LH_DorsAttn_FEF_1,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
223,224,7Networks_LH_DorsAttn_FEF_2,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
224,225,7Networks_LH_DorsAttn_FEF_3,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
225,226,7Networks_LH_DorsAttn_FEF_4,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
226,227,7Networks_LH_DorsAttn_FEF_5,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
227,228,7Networks_LH_DorsAttn_FEF_6,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
228,229,7Networks_LH_DorsAttn_FEF_7,Cortex,Left,FEF,Dorsal_Attention,-1,0,1
